Name,Title,Category,Type,nx,x1,x2,ny,y1,y2,Option,Detector,Reset,Look back,Caption
NRawObjectsHisto,Number of Raw Objects Per Detector;Detector;Number,All Detectors,TH2F,9,0,9,100,0,100,colz:logz,emph,run,1,Distribution of the number of raw data objects per detector per event.
NTriggerVsDet,Number of Triggers Seen by Each Detector;Detector;Number,All Detectors,TH1F,9,0,9,0,0,0,,emph,run,1,Shows number of triggers seen by each detector.
T0ADC*,T0 ADC Distribution;ADC,T0,TH1F,512,0,4095,0,0,0,,emph,run,1,Shows ADC distribution for T0 channels.
T0NTDC*,Number of T0 Hits Per Event;TDC,T0,TH1F,50,0,50,0,0,0,,emph,run,1,Shows number of T0 hits seen in each event on a given channel.
LGCaloADC*,LGCalo ADC Distribution;ADC,Lead Glass Calorimeter,TH1F,512,0,4095,0,0,0,,emph,run,1,Shows ADC distribution for lead glass calorimeter channels.
BACkovADC*,BACkov ADC Distribution;ADC,BACkov,TH1F,512,0,4095,0,0,0,,emph,run,1,Shows ADC distribution for beam aerogel cherenkov detector.
GasCkovADC*,Gas Ckov ADC Distribution;ADC,GasCkov,TH1F,512,0,4095,0,0,0,,emph,run,1,Shows ADC distribution for gas cherenkov detector.
TriggerADC*,Trigger ADC Distribution;ADC,Trigger,TH1F,512,0,4095,0,0,0,,emph,run,1,Shows ADC distribution for trigger detector PMTs.
SSDProfile*,SSD Profile;Channel;Number of Hits,SSD,TH1F,640,0,640,0,0,0,,emph,run,1,Beam profile plots from SSDs.
SSDNHits*,SSD Hit Multiplicity;Number of Hits,SSD,TH1F,50,0,50,0,0,0,,emph,run,1,Hit multiplicity distributions from SSDs.
BACkovWaveForm*,BACkov Average Waveform;Tick;ADC,BACkov,TH1F,200,0,200,0,0,0,,emph,run,1,Shows average waveform from the BACkov detector PMTs.
T0BoardID,T0 board ID;Board number,T0,TH1F,10,500,510,0,0,0,,emph,run,1,T0 board number.
T0ChanID,T0 channel ID;Channel number,T0,TH1F,65,0,65,0,0,0,,emph,run,1,T0 channel number.
RPCBoardID,RPC board ID;Board number,RPC,TH1F,10,500,510,0,0,0,,emph,run,1,RPC board number.
RPCChanID,RPC channel ID;Channel number,RPC,TH1F,65,0,65,0,0,0,,emph,run,1,RPC channel number.
